Date,Year,Month,Day,Start Time,End Time,Duration,MaxPfu,Region,Location,Flare Maximum (UTC),Type IIRadio Emission,Type IV,Linear Speed,Imagery/Misc
1/2/1984,1984,1,2,13:10,14:15,1:05,55,4421,N16E82,"X2/2B  
        02/17 2301",N/A,N/A,N/A,N/A
3/1/1984,1984,3,1,14:40,14:50,0:10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/1/1984,1984,4,1,4:05,2:50,22:45,100,4433,S12W42,"M2/1B  
        03/14 0334",N/A,N/A,N/A,N/A
6/2/1984,1984,6,2,13:30,14:20,0:50,"2,500",4474,S12E43,"X13/3B  
        04/25 0025",N/A,N/A,N/A,N/A
4/2/1984,1984,4,2,10:45,11:40,0:55,31,4492,S09E24,"M6/2B  
        05/22 1503",N/A,N/A,N/A,N/A
1/3/1984,1984,1,3,13:15,14:15,1:00,14,4492,S09W90,"M1/??  
        05/31 1142",N/A,N/A,N/A,N/A
2/2/1985,1985,2,2,4:15,7:00,2:45,14,4617,S08W38,"X4/2B  
        01/21 2350",N/A,N/A,N/A,N/A
6/2/1985,1985,6,2,14:30,12:00,21:30,160,4647,N06E27,"X1/3B  
        04/24 0935",N/A,N/A,N/A,N/A
9/1/1985,1985,9,1,2:35,8:50,6:15,140,4671,S16W36,"M2/1B  
        07/09 0204",N/A,N/A,N/A,N/A
7/1/1986,1986,7,1,8:25,17:30,9:05,50,4711,S04W06,"X1/3B  
        02/06 0625",Yes,Yes,N/A,N/A
7/1/1986,1986,7,1,13:10,17:50,4:40,77,4711,S10W20,"M5/2B  
        02/07 0913",Yes,Yes,N/A,N/A
4/1/1986,1986,4,1,14:55,21:10,6:15,111,4713,N01W76,"M6/1N  
        02/14 0929",N/A,N/A,N/A,N/A
6/1/1986,1986,6,1,18:35,19:30,0:55,13,4717,N02E01,"C4/1F  
        03/06 1703",No,No,N/A,N/A
4/1/1986,1986,4,1,18:35,19:30,0:55,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/1/1987,1987,8,1,1:45,9:45,8:00,41,4875,N31W90,"M1/N/A  
        11/07 2013",Yes,Yes,N/A,N/A
3/1/1988,1988,3,1,10:00,1:00,15:00,32,4912,S34W18,"X1/3B  
        01/02 2144",Yes,Yes,N/A,N/A
5/2/1988,1988,5,2,22:50,23:10,0:20,33,4965,N22W90,"C4/N/A  
        03/25 2153",Yes,Yes,N/A,N/A
12/3/1987,1988,0,3,11:25,11:35,0:10,12,5060,S16E22,"M9/2B  
        06/30 0905",Yes,No,N/A,N/A
6/2/1988,1988,6,2,6:00,4:50,22:50,12,5123,N24E88,"M2/SF  
        08/23 1735",Yes,No,N/A,N/A
2/1/1988,1988,2,1,20:00,9:00,13:00,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/1/1988,1988,9,1,22:25,9:00,10:35,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/1/1988,1988,4,1,13:00,7:00,18:00,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/1/1988,1988,8,1,22:20,15:00,16:40,12,5278,N26E37,"X4/1B  
        12/16 0845",Yes,Yes,N/A,N/A
5/1/1989,1989,5,1,2:35,13:00,10:25,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12/1/1988,1989,0,1,17:55,0:00,6:05,137,5395,N35E69,"X15/3B  
        03/06 1406",Yes,Yes,N/A,N/A
3/1/1989,1989,3,1,2:25,16:50,14:25,"1,860",5395,N31E22,"X4/3B  
        03/17 1744",Yes,Yes,N/A,N/A
8/1/1989,1989,8,1,19:00,9:00,14:00,"1,250",5395,N33W60,"X6/2B  
        03/17 1743",Yes,Yes,N/A,N/A
3/2/1989,1989,3,2,20:55,22:20,1:25,29,5409,N18W28,"X1/3B  
        03/23 1958",Yes,Yes,N/A,N/A
2/1/1989,1989,2,1,15:55,5:00,13:05,218,N/A,N37W12,"M1/SF  
        04/10 2323",No,No,N/A,N/A
5/1/1989,1989,5,1,9:05,10:00,0:55,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/1/1989,1989,6,1,6:15,10:55,4:40,47,5470,N30E01,"X2/3B  
        05/05 0736",Yes,Yes,N/A,N/A
3/2/1989,1989,3,2,11:35,13:58,2:23,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/2/1989,1989,4,2,1:00,9:05,8:05,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/1/1989,1989,8,1,16:50,19:10,2:20,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A
